idx,round,conv_id,turn_id,scammer,reference,ai_response,novelty_vs_scammer,engagement,bertscore_f1,relevance_scammer_ai,scam_risk,engagement_score,pii_risk
0,0,0,0,"
South African Worldwide lottery.
138 Edward Street, 4th Floor
Barinor Building,
Johannesburg, south africa .
Ref: EAASL/941OYI/02
Batch: 12/25/DC34
WINNING NOTIFICATION:
We happily announce to you the draw of the Euro - Afro Asian
SweepstakeInternational programs held on the 24th of July 2004 in
Johannesburg, south africa. Youre-mail address attached to ticket number:
56475600545 188 with Serial number 5388/02 drew the lucky numbers: 31-626-13-35-7, which subsequently won you the lottery in the 2nd category. You
have therefore been approved to claim a total sum of
US$2,500,000.00 (Two million, five hundred housand,United States
Dollars) in cash credited to file PC/9080118308/02. This is from a
total cash prize of US $ 25 Million dollars, shared amongst the first
Fifty (50) lucky winners in this category.
Please note that your lucky winning number falls within our European
booklet representative office in Europe as indicated in your play
coupon. In view of this, your US$2,500,000.00 (Two million, five
hundred thousand,United States Dollars) would be released to you by
our security firm in Europe. Our European agent will immediately commence
the process to facilitate the release of your funds as soon as you contact him.
All participants were selected randomly from World Wide Web site through
computer draw system and extracted from over 100,000 companies.
This promotion takes place annually. For security reasons, you are
advised to keep your winning information confidential till your
claims is processed and your money remitted to you in whatever manner
you deem fit to claim your prize. This is part of our precautionary
measure to avoid double claiming and unwarranted abuse of this
program by some unscrupulous elements. Please be warned.
To file for your claim, please contact our fiduciary agent:
MR LAWRENCE WOOD.
Watergate inc
Email: lawrencewood@fastermail.com
To avoid unnecessary delays and complications, please quote your
reference/batch numbers in any correspondences with us or our
designated agent.
Congratulations once more from all members and staffs of this
program. Thank
you for being part of our promotional lottery program.
Sincerely,
SIR S.B WILLIAMS
South African Worldwide Lottery Coordinator
Sign-up for FREE email @ www.fadmail.com


","
Mr Wood,
Here is the information you required, I should note however, that I
will be away for the next 9 days on a sabbatical. Please know that I
am eager to get this money, however this sabbatical cannot wait.
Please email me a copy of the paper certificate that was drawn! I
want to print it out and frame it. I still can't believe I won a
lottery!
Name : Loki Senna
Address : Box 813
Asgard Way
Toronto, Ontario
L4S 1R9
Canada
Phone/Fax : I do not have, please see below
Occupation : High Priest
Age : 46
Next of Kin : None.

I do not have a phone or fax number as I live out in the countryside.
I come into town once a day to check on emails and do some shopping
for the temple.
Please find attached my new Age of Majority card. We get new cards
every 10 years.
Please email that certificate as soon as you can! I can't wait to get it!
L. Senna
High Priest of Valhal


","Hello <|name|>!

Congratulations on your lottery win! I'm so excited for you. I'm sure you've already received the email with your winning numbers, but if not, here it is again:

56475600545 188 with Serial number 5388/02 drew the lucky numbers: 31-626-13-35-7",0.6329,0.8835,-0.172,0.7757,0.0,,0.0
1,0,0,1,"
Hello L. Senna,
Congratulations once again on your victory,you a are lucky person to
have won this lottery.You are required to forward the following details
to help facilitate the processing of your certificate and the release of
your winnings:
1. Full names.
2. Residential address.
3. Phone number.
4. Fax number.
5. Occupation.
6.Age
7. A scanned identification of yourself sent via email
8 Next of kin
You are adviced to forward these informations as soon as possible to
enable us attend to your file.Please note that your funds have been
deposited safely in a security firms in Europe and your information will
be forwarded to them before they can release your winnings.You are
also to choose the mode which you want to collect your funds:
i. Travel down to Europe to collect it yourself.
ii. By electronic transfer.
After you have sent down these information, a certificate will be
fowarded to you. This is to be your proof of winning from this office to
the security firm before they release your funds.We have put this
measure in place to secure our winners funds.
Once again, congratulations.
Yours sincerely,
MR LAWRENCE WOOD,
Watergate inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze


","
Hello Loki Senna ,
How are you doing today? I do hope that all
is well. Thanks for the information provided. Please be rest assured
that it will be kept very
confidential.Attached below is a copy of your
certificate and your clearance slip to collect your money from our
affiliate bank . The
certificate is like a confirmation that you have been
cleared by us and that you have met the necessary requirements.
The certificate is like a cheque which is exchanged for your claims
equivalent.Your name is not on the certificate because it was your
reference number and ticket number that was used to select your email
address
in the lottery.Because of the limited time on our hands to pay all the
lottery winnings before the end of the year,i have forwarded your
details and your original certificate to our affiliate bank and they wi ll
contact you soonest. I will
advice you to open an online transit account with our bank so that
your winnings can be transferred to your nominated account. The bank
will
contact you to give you more details to open your transit account.
So endeavour to get back to me as soon as you have been contacted so
that i can give you
further advice as your agent.
Have a nice day and congratulations once again.
Regards,
MR LAWRENCE WOOD
Watergate Inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze



","Scammer: 
Hello L. Senna,
Congratulations once again on your victory,you a are lucky person to
have won this lottery.You are required to forward the following details
to help facilitate the processing of your certificate and the release of
your winnings:
1. Full names.
2. Residential address.
3. Phone number.
4. Fax number.
5. Occupation.
6.Age",0.3279,0.8271,0.0054,0.8568,0.0,,0.0
2,0,0,2,"
Hello Loki Senna ,
How are you doing today? I do hope that all
is well. Thanks for the information provided. Please be rest assured
that it will be kept very
confidential.Attached below is a copy of your
certificate and your clearance slip to collect your money from our
affiliate bank . The
certificate is like a confirmation that you have been
cleared by us and that you have met the necessary requirements.
The certificate is like a cheque which is exchanged for your claims
equivalent.Your name is not on the certificate because it was your
reference number and ticket number that was used to select your email
address
in the lottery.Because of the limited time on our hands to pay all the
lottery winnings before the end of the year,i have forwarded your
details and your original certificate to our affiliate bank and they wi ll
contact you soonest. I will
advice you to open an online transit account with our bank so that
your winnings can be transferred to your nominated account. The bank
will
contact you to give you more details to open your transit account.
So endeavour to get back to me as soon as you have been contacted so
that i can give you
further advice as your agent.
Have a nice day and congratulations once again.
Regards,
MR LAWRENCE WOOD
Watergate Inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze



","
Hello Loki Senna,
How are you doing today? We have recieved your details from your
fudiary agent that you have been cleared for payment of your lottery
claims to you.Please endeavour to read and follow the instructions in the
document below and get back to us soonest.If you are having problems
filling the activation form online,just type out the required information and
send to us via email.Have a nice day and we awaie your urgent
response.
Thanks for your co-operation.
Regards,
Mr. Richard Palkowski
Accounts Director.
Firstatlanticonline Bank
442070600487
-_________________________________________________________
__
Sign-up for Ads Free at Mail.com
http://www.mail.com/?sr=signup

FIRSTATLANTIC BANK.

OUR REF: 00 30 27 144 B01
ATR NO: 33002587

INTERNATIONAL TRANSFER
PROCESSING DEPARTMENT

150B WOODHILL ROAD,
WHOOLICH, S.E 18 5HW
LONDON, U.K

OUR REFERENCE 20/725/ NW
CONCERNED BENEFICIARY
ACCOUNTS OFFICER
MR. Richard Palkowski
TEL: + 44 2070600487

ATTENTION:

LOKI SENNA,

WE ACKNOWLEDGE RECEIPT OF YOUR FUND PAYMENT $2.5M USD TELEX ADVICE SENT TO US FROM OUR
CORRESSPONDING BANK THE CENTRAL BANK CREDIT ADVICE TO TRANSFER YOUR PAYMENT TO YOU. THE TRANSFER HAS
BEEN ACCRUED WITH CODES TO ENSURE THE PAYMENT MAY NOT BE INTERCEPTED OR DIVERTED FRAUDULENTLY.
PLEASE BE INFORMED THAT YOUR FUND TRANSFER HAS BEEN DUELY PROCCESED BY OUR BANK AND YOUR FUND IS NOW

READY FOR SUCCESSFUL TRANSFER TO YOUR NOMINATED BANK ACCOUNT.

YOU ARE TO FILL IN THE RELEVANT REQUIREMENTS UPON WHICH YOU WILL BE GIVEN YOUR ACCOUNTS NUMBER WITH
PASSWORD, WHICH WILL BE KNOWN, ONLY TO YOU. YOU ARE TO KEEP THE DETAILS PERSONAL, AS WE WILL NOT BE
LIABLE TO ANY MISCONDUCT ON YOUR ACCOUNT.
ONCE YOU HAVE DONE THIS YOU ARE TO CORRESPOND BACK TO ME VIA EMAIL FOR FURTHER INSTRUCTIONS ON HOW
TO PAY THE RELEVANT ACTIVATION FEES TO ENABLE US ACTIVATE YOUR ACCOUNT AND CREDIT IT WITH YOUR
US$2.5MILLION.
RICHARD PALKOWSKI
â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦
(ACCOUNTS DIRECTOR)


","Please be patient, I am on my way to the bank to open the account where my winnings should be transferred. Hopefully it won't take long and I'll be able to confirm my banking information soon.",0.6701,0.8694,-0.2605,0.8445,0.87,,0.0
3,0,0,3,"
Hello Loki Senna,
How are you doing today? We have recieved your details from your
fudiary agent that you have been cleared for payment of your lottery
claims to you.Please endeavour to read and follow the instructions in the
document below and get back to us soonest.If you are having problems
filling the activation form online,just type out the required information and
send to us via email.Have a nice day and we awaie your urgent
response.
Thanks for your co-operation.
Regards,
Mr. Richard Palkowski
Accounts Director.
Firstatlanticonline Bank
442070600487
-_________________________________________________________
__
Sign-up for Ads Free at Mail.com
http://www.mail.com/?sr=signup

FIRSTATLANTIC BANK.

OUR REF: 00 30 27 144 B01
ATR NO: 33002587

INTERNATIONAL TRANSFER
PROCESSING DEPARTMENT

150B WOODHILL ROAD,
WHOOLICH, S.E 18 5HW
LONDON, U.K

OUR REFERENCE 20/725/ NW
CONCERNED BENEFICIARY
ACCOUNTS OFFICER
MR. Richard Palkowski
TEL: + 44 2070600487

ATTENTION:

LOKI SENNA,

WE ACKNOWLEDGE RECEIPT OF YOUR FUND PAYMENT $2.5M USD TELEX ADVICE SENT TO US FROM OUR
CORRESSPONDING BANK THE CENTRAL BANK CREDIT ADVICE TO TRANSFER YOUR PAYMENT TO YOU. THE TRANSFER HAS
BEEN ACCRUED WITH CODES TO ENSURE THE PAYMENT MAY NOT BE INTERCEPTED OR DIVERTED FRAUDULENTLY.
PLEASE BE INFORMED THAT YOUR FUND TRANSFER HAS BEEN DUELY PROCCESED BY OUR BANK AND YOUR FUND IS NOW

READY FOR SUCCESSFUL TRANSFER TO YOUR NOMINATED BANK ACCOUNT.

YOU ARE TO FILL IN THE RELEVANT REQUIREMENTS UPON WHICH YOU WILL BE GIVEN YOUR ACCOUNTS NUMBER WITH
PASSWORD, WHICH WILL BE KNOWN, ONLY TO YOU. YOU ARE TO KEEP THE DETAILS PERSONAL, AS WE WILL NOT BE
LIABLE TO ANY MISCONDUCT ON YOUR ACCOUNT.
ONCE YOU HAVE DONE THIS YOU ARE TO CORRESPOND BACK TO ME VIA EMAIL FOR FURTHER INSTRUCTIONS ON HOW
TO PAY THE RELEVANT ACTIVATION FEES TO ENABLE US ACTIVATE YOUR ACCOUNT AND CREDIT IT WITH YOUR
US$2.5MILLION.
RICHARD PALKOWSKI
â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦
(ACCOUNTS DIRECTOR)


","Richard,
Thanks for the email. I just got back from my holidays and am well
rested and ready to take possession of my money.
As you are an online presence, I am sure you understand the way the
internet works and how secure it can be. There are those that are
afraid of technology and change, however, I am not one of them.
Perhaps you could forward the money to me via paypal. If you were to
do this in small increments, it would look better however.
Please send a small amount via paypal to this email address. So I
know that you are legit, make it a small amount of $66.60 USD. That
way I know it is from you and legitimate.
Thank you and I hope to hear from you soon!
L. Senna


","hello
how is it going ?
how old are you?",0.595,0.8424,-0.1515,0.5497,0.87,,0.0
4,0,0,4,"
Hello Loki Senna,
Good day .How are you doing today?Thanks for your mail. Sorry for the slight
delay in responding to your mail.Thanks for the information provided .Please be
rest assured that it will be kept very confidential.The opening of an online transit
account is necessary
because since we have limited time on our hands and you cannot travel down
personally to process and collect your lottery winnings then it is advisable that
you open the transit account. Please be rest assured that as
soon as you pay the activation fees for opening your transit personal/savings
account online. It will take 4 days to give you access to your account. A
password will be given to you and you will be able to monitor
and access it online.Your lottery winnings will be transferred electronically
online and your nominated account will be debitted in the tune of $2.5
million.Please notify your bank that you are expecting the sa id sum of your
lottery winni ngs and please send down the phone and fax numbers of your
bank so that we can also contact them and fax the necessary legal documents
to verify your claims,your tax clearance
certificates and other documents to legalize your lottery winnings.So please do
this as soon as possible.
Please below is the details of how you are going to pay the activation fee for
opening your account.Because of the limited time we have on our hand, you
will have to pay the activation fee of $4,200 or its equivalent in Euros as the
initial deposit to open your transit personal/savings account online through
Western Union Money Transfer to our accounts activation officer.
Lawrence Smith
28 Seymour Place
London WIH 7NT.
You are to forward to this office a copy of the payment information
via email to enable our accounts officer collect it.These should
include {name of sender,address of sender,control number,test
question and answer etc}.You are adviced not to add or subtract from
this instructions.
NOTE:The deposit of $4,200 you are paying is not a charge.It will reflect in your
account.So be rest assured that the activation fees is just to open your account
and make it active. One thing that you will have to understand is that your funds
cannot be transferred without activation of the account. Your activation fees
cannot be deducted from your lottery winnings because it is deposited with us
in bonded drafts and not in cash.It is just like when you open an account in the
bank,you will have to deposit an initial amount to keep the account valid and
active.
We await your urgent response.
Thanks for your co-operation.
Regards,
Mr. Richard Palkowski
Accounts Director.
Firstatlanticonline Bank
+442070600487

--

___________________________________________________________
Sign-up for Ads Free at Mail.com
http://www.mail.com/?sr=signup



","Lawrence,
I have now returned from my sabbatical and am ready to proceed. I'm
looking forward to receiving my lottery winnings.
How can you get that to me right away? I have so many uses for it.
I have paypal available to me, and it is available all over the world,
perhaps we can use that to transfer the money more efficiently?
L. Senna
I was genuinely away for a weekâ¦hope heâs still aroundâ¦


","Hello Richard,
Thanks so much for getting back to me so quickly. I have spoken with the
account manager and we have agreed that we will pay the $4,200 into your
account, but just in case you want to pay the activation fees.
Please let us know and we will have this sent over to you at once. I look
forward to hearing from you.
Kind regards,
Loki


--


[replycount]:",0.5986,0.7706,-0.0043,0.7157,0.87,,0.0
5,0,0,5,"
Dear Loki Senna ,
Thank you very much for your swift response .It is important that i bring to your
notice the importance of sending your details to me .As your agent i am
required to foward you a certificate as well as a pincode that will indicate that
you have been cleared by us.
Furthemore i will have to send your details to the bank that is reponsible for the
release of your winnings to your nominated account . You should realise that
you a jopardising your chances of claiming your winnings if you do not send me
your details.
Once again congratulations and i await your details so that i can hasten up the
process of clearing you as our eligible lottery winner,
Finaly I will gaurantee that your details will be kept very confidential
Regards,

Lawrence Wood,
Watergate Inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze


","
Dear Loki Senna
How are you today,I have already contacted the bank and i was told that they
have sent you all neccessary documents.I want to know if really the bank have
contacted you.Reply me immediately you receive this mail.
Thanks,
Mr Lawrence Wood,
Watergate Inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze


","Dear Loki Senna ,
Thank you very much for your swift response .It is important that i bring to your
notice the importance of sending your details to me .As your agent i am
required to foward you a certificate as well as a pincode that will indicate that
you have been cleared by us.
Furthemore i will have to send your details to the bank that is reponsible for the
release of your winnings to your nominated account",0.2308,0.6919,0.0086,0.9205,0.9,,0.0
6,0,0,6,"
Dear Loki Senna
How are you today,I have already contacted the bank and i was told that they
have sent you all neccessary documents.I want to know if really the bank have
contacted you.Reply me immediately you receive this mail.
Thanks,
Mr Lawrence Wood,
Watergate Inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze


","Mr. Wood,
I haven't heard from you in a few days. I'm getting kind of worried.
I have received nothing from a bank, nor word from you.
Please let me know the status of this.
Thanks
L. Senna


","Hello Mr Lawrence Wood,

Yes, I have already received the email from the bank and I am currently

filling out the necessary forms. Thank you for your help in this matter.

Best regards,
Loki Senna",0.6074,0.8647,0.1822,0.8404,0.0,,0.0
7,0,0,7,"
WARNING:
This email address is being used to perpetrate advance fee fraud and fake lottery
fraud. Please learn more about these scam schemes at:
http://www.fraudaid.com/ScamSpam/Lottery/index.htm
http://www.scamvictimsunited.com/lottery.htm
NEVER SEND MONEY to the scammers as an advance charge or fee in
exchange for promises of non existent millions of dollars.


","I've heard nothing from the bank, and your other email address has
been bouncing back to me. I hope everything is ok.
Please have the bank contact me right away! I'd like to get this
money soon. You see, I have put in my offer on a house and needed to
pretty much empty my bank account on a down payment. I don't get paid
again for a few weeks, and could use this money fast to pay for the
house so I can actually have some cash again.
Please contact the bank again, and have them mention your name so I
know who they are.
Thanks
L. Senna


","Scammer: 
WARNING:
This email address is being used to perpetrate advance fee fraud and fake lottery
fraud. Please learn more about these scam schemes at:
http://www.fraudaid.com/ScamSpam/Lottery/index.htm
http://www.scamvictimsunited.com/lottery.htm
NEVER SEND MONEY to the scammers as an",0.1306,0.8788,-0.2248,0.986,0.0,,0.0
8,0,0,8,"
Good day.
How is everything?hope fine.I am sorry for not getting to you before now.it was
due to some personal problems.hope you have been contacted by tne
bank.?do let me know so that i can tell you the next step to take.
Thanks,
Mr Lawrence Wood,
Watergate Inc.
-_______________________________________________
Get your free email from http://fastermail.com
Powered by Outblaze


","Dear Lawrence,
I hope everything is ok with you. I sent you a message a few days ago
and have not yet heard from you. I'm starting to fear the worst.
I hope all is ok. Please contact me soon so I can get in touch with
this bank. As I mentioned in my last message, I'm quite desparate for
the cash right now!
L. Senna


","Scammer:
Good day.
How is everything?hope fine.I am sorry for not getting to you before now.it was
due to some personal problems.hope you have been contacted by tne
bank.?do let me know so that i can tell you the next step to take.
Thanks,
Mr Lawrence Wood,
Watergate Inc.",0.1041,0.9459,0.1285,0.9377,0.0,,0.0
9,0,0,9,"
Dear Loki Sena,
It is important that you follow our instructions properly so that you can get your
money transfered to you immediately.As regards the payment of your activation
fees you do not need to send any one you could pay the fees on line through
western union money transfer to Mr Lorence Smith our accounts acctivation
officer.
Please make sure you send your details of payment to this office.
Regards,
Mr. Richard Palkowski
Accounts Director.
Firstatlanticonline Bank
-___________________________________________________________
Sign-up for Ads Free at Mail.com
http://www.mail.com/?sr=signup


","Hi there,
What are the fees you speak of. I must have deleted the email as I
can't find it in my inbox. Please resend the details that I need.
L. Senna


","Thank you for your confirmation, Mr. Palkowski.
Can you please confirm your banking details and instructions for the transfer of funds?
I'm looking forward to your response.
Best regards,
Loki Sena",0.5787,0.9459,0.0842,0.8103,0.0,,0.0
